Nr.,Name,Nametech,Area,Area misc.,Importance,Parent,Decade,Year,Country?
,Japanoise,japanoise,noise,experimental,3,Noise,1970s,late 1970s,Japan
,Noise,noise,noise,experimental,4,Futurism,1910s,early 1910s,Italy
,Power Noise,powernoise,noise,industrial,3,Industrial,1990s,early 1990s,Germany
,Adult Contemporary,adultcontemporary,pop,soulful,5,Pop,1960s,mid-1960s,USA
,Art Pop,artpop,pop,rock,4,Pop,1960s,mid-1960s,"UK, USA"
,Baroque Pop,baroquepop,pop,classical,4,Pop,1960s,mid-1960s,"UK, USA"
,Bedroom Pop,bedroompop,pop,rock,4,Indie Pop,2000s,late 2000s,Worldwide / online
,Brill Building,brillbuilding,pop,soulful,4,Traditional Pop,1950s,late 1950s,USA
,Bubblegum Pop,bubblegumpop,pop,rock,4,Pop,1960s,late 1960s,"USA, UK"
,Cantopop,cantopop,pop,,5,Pop,1970s,early 1970s,Hong Kong
,Chamber Pop,chamberpop,pop,classical,4,Baroque Pop,1990s,mid-1990s,"UK, USA"
,Chanson,chanson,pop,folk,5,(none),1900s,early 1900s,France
,Chillwave,chillwave,pop,ambient,4,Dream Pop,2000s,late 2000s,USA
,City Pop,citypop,pop,soulful,5,Pop,1970s,mid-1970s,Japan
,Country Pop,countrypop,pop,folk,5,Country,1960s,late 1960s,USA
,Dance-Pop,dancepop,pop,edm,5,Pop,1980s,early 1980s,"USA, UK"
,Disco Pop,discopop,pop,soulful,5,Disco,1970s,mid-1970s,"USA, UK"
,Dream Pop,dreampop,pop,rock,5,Neo-Psychedelia,1980s,mid-1980s,UK
,Easy Listening,easylistening,pop,ambient,4,Traditional Pop,1940s,late 1940s,"USA, Europe"
,Electropop,electropop,pop,edm,5,Synthpop,1980s,early 1980s,UK
,Emo Pop,emopop,pop,rock,4,Emo,1990s,mid-1990s,USA
,Enka,enka,pop,folk,4,Kayōkyoku,1950s,late 1950s,Japan
,Eurobeat,eurobeat,pop,edm,4,Italo Disco,1980s,mid-1980s,"Italy, Japan"
,Eurodance,eurodance,pop,edm,5,Eurodisco,1980s,late 1980s,Europe
,Freestyle Music,freestylemusic,pop,edm,4,Electro,1980s,early 1980s,USA
,Hands Up,handsup,pop,trance,4,Eurodance,1990s,late 1990s,Germany
,Hyperpop,hyperpop,pop,edm,4,Electropop,2010s,mid-2010s,"UK, online"
,Indie Dance,indiedance,pop,edm,4,Indie Pop,1980s,late 1980s,UK
,Indie Pop,indiepop,pop,rock,5,Post-Punk,1980s,early 1980s,UK
,J-Pop,jpop,pop,,5,Pop,1990s,early 1990s,Japan
,Jangle Pop,janglepop,pop,rock,4,Pop Rock,1980s,early 1980s,"USA, UK"
,K-Pop,kpop,pop,,5,Pop,1990s,early 1990s,South Korea
,Kayōkyoku,kayokyoku,pop,,4,Traditional Pop,1920s,mid-1920s,Japan
,Latin Pop,latinpop,pop,latin,4,Pop,1950s,mid-1950s,"Latin America, USA"
,Mandopop,mandopop,pop,,5,Traditional Pop,1920s,late 1920s,China
,Musical Theatre,musicaltheatre,pop,,5,Operetta,1800s,late 1800s,"USA, UK"
,New Romantic,newromantic,pop,rock,4,New Wave,1970s,late 1970s,UK
,Nightcore,nightcore,pop,edm,3,Eurodance,2000s,early 2000s,"Norway, online"
,Noise Pop,noisepop,pop,noise,4,Indie Rock,1980s,mid-1980s,"UK, USA"
,Pop,pop,pop,,5,Traditional Pop,1950s,mid-1950s,"USA, UK"
,Pop Soul,popsoul,pop,soulful,5,Soul,1960s,early 1960s,USA
,Power Pop,powerpop,pop,rock,4,Pop Rock,1970s,early 1970s,"USA, UK"
,Psychedelic Pop,psychedelicpop,pop,psy,4,Psychedelic Rock,1960s,mid-1960s,"UK, USA"
,Romo,romo,pop,rock,1,New Romantic,1990s,mid-1990s,UK
,Schlager,schlager,pop,folk,5,Traditional Pop,1950s,early 1950s,Central and Northern Europe
,Sophisti-pop,sophistipop,pop,soulful,4,Pop,1980s,mid-1980s,UK
,Sunshine Pop,sunshinepop,pop,rock,4,Pop Rock,1960s,mid-1960s,USA
,Swamp Pop,swamppop,pop,soulful,3,Rhythm And Blues,1950s,late 1950s,USA
,Synthpop,synthpop,pop,edm,5,New Wave,1970s,late 1970s,"UK, Japan"
